1	Узоқ муддатли облигациялар чегирма билан харид қилинганда дисконт суммаси акс эттирилган 	0610	6210, 5110-5530	Облигация келишуви, бухгалтериянинг ҳисоб-китоб маълумотномаси 
2	Қисқа муддатли облигациялар чегирма билан харид қилинганда дисконт суммаси акс эттирилган 	5810	6210	Облигация келишуви, бухгалтериянинг ҳисоб-китоб маълумотномаси 
3	Жорий облигация дисконти ҳисобдан чиқарилган 	6210	9530	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
4	Узоқ муддатли кечиктирилган дисконт қисмини жорий қисмга ўтказиш акс эттирилган 	7210	6210	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
5	Облигациялар мукофот билан сотилганда мукофот суммаси акс эттирилган 	5110-5530	6220	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
6	Жорий облигация мукофоти ҳисобдан чиқарилган 	6220	9530	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
7	Узоқ муддатли кечиктирилган мукофот қисми жорий қисмга ҳисобдан чиқарилган 	7220	6220	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
8	Курс фарқини ҳисобга олишнинг жамлаш усули билан кредиторлик қарзи бўйича манфий курс фарқи акс эттирилган 	3290	6230	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
9	Курс фарқини ҳисобга олишнинг тўғри усули билан бошқа кечиктирилган даромадлар бўйича манфий курс фарқи акс эттирилган 	9620	6230	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
10	Келгусида товар-моддий қийматликларни етказиб бериш, хизматларни кўрсатиш, ишларни бажариш учун пул маблағлари келиб тушган 	5110	6230	Банк кўчирмаси, шартнома 
11	Келгусида товар-моддий қийматликларни етказиб бериш, хизматларни кўрсатиш, ишларни бажариш учун валюта маблағлари келиб тушган 	5210, 5220	6230	Банк счётларидан кўчирма, шартнома 
12	Келгусида товар-моддий қийматликларни етказиб бериш, хизматларни кўрсатиш, ишларни бажариш учун пул маблағлари банкдаги бошқа счётларга келиб тушган 	5530	6230	Банк счётларидан кўчирма, шартнома 
13	Курс фарқини ҳисобга олишнинг жамлаш усули билан чет эл валютасида ифодаланган бошқа кечиктирилган даромадлар бўйича валютадаги мусбат курс фарқи акс эттирилган 	6230	6231	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
14	Курс фарқини ҳисобга олишнинг тўғри усули билан чет эл валютасида ифодаланган бошқа кечиктирилган даромадлар бўйича валютадаги мусбат курс фарқи акс эттирилган 	6230	9540	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
15	Кечиктирилган даромад тайёр маҳсулотнинг сотилишига қараб даромад таркибига киритилади 	6230	9010	Ҳисобварақ-фактура, юкхат 
16	Кечиктирилган даромад товарларнинг сотилишига қараб даромад таркибига киритилади 	6230	9020	Ҳисобварақ-фактура, юкхат 
17	Кечиктирилган даромад хизматлар кўрсатилиши ва ишлар бажарилиши даврида даромад таркибига киритилади 	6230	9030	Ҳисобварақ-фактура, ишлар бажарилганлиги, хизматлар кўрсатилганлиги ҳақида далолатнома 
18	Оператив ижара бўйича кечиктирилган даромад тегишли давр келганда даромад таркибига киритилади 	6230	9350	Шартнома, ҳисобварақ-фактура 
19	Молиявий ижара бўйича кечиктирилган даромад тегишли давр келганда даромад таркибига киритилади 	6230	9550	Шартнома, ҳисобварақ-фактура 
20	Ваколатли ҳокимият органлари томонидан қонунчиликка мувофиқ тўлов муддати кечиктирилишига рухсат этилган солиқлар бўйича кечиктирилган мажбуриятлар акс эттирилган 	6410	6240	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
21	Ваколатли ҳокимият органлари томонидан қонунчиликка мувофиқ тўлов муддати кечиктирилишига рухсат этилган давлат мақсадли жамғармаларига тўловлар бўйича кечиктирилган мажбуриятлар акс эттирилган 	6520	6240	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
22	Ҳисобот даврида бюджетга тўланиши лозим бўлган солиқлар ва бошқа мажбурий тўловлар бўйича узоқ муддатли кечиктирилган мажбуриятларнинг жорий қисми ҳисобдан чиқарилган 	7240	6240	Ҳисобдан чиқариш ҳисоб-китоби 
23	Тўлов муддати келиши муносабати билан солиқлар бўйича кечиктирилган мажбуриятлар тўланган 	6240	5110	Банк ҳисоб-китоб счётларидан кўчирмалар 
24	Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғига оид мажбуриятлар акс эттирилган 	9810	6250	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
25	Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғига оид узоқ муддатли мажбуриятларнинг жорий қисмга ўтказилиши акс эттирилган 	7250	6250	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
26	Кечиктирилган фойда солиғи вужудга келиши жараёнида мажбуриятларнинг ҳисобдан чиқарилиши акс эттирилган 	6250	6410	Бухгалтериянинг ҳисоб-китоб маълумотномаси 
