1	Отражен износ основных средств, используемых в цехах вспомогательных и прочих производств 	2310	0211-0290	Расчет износа основных средств
46	Отражена отгрузка продукции на сторону, выполнены работы и оказаны заказчикам услуги вспомогательными и прочими цехами по фактической себестоимости 	9130	2310	Договор, счет-фактура
47	Доля затрат вспомогательных цехов отнесена на прочие операционные расходы 	9430	2310	Расчет бухгалтерии
48	Списаны затраты вспомогательных и прочих цехов при реализации и прочем выбытии: 			Докладная записка, расчет бухгалтерии
	- основных средств 	9210	2310	
	- нематериальных и прочих активов 	9220	2310	
49	Передана продукция и оказаны услуги вспомогательными и прочими цехами другим предприятиям в порядке краткосрочных инвестиций 	9130 (5810	2310 9030)	Договор, счет-фактура, накладная
50	Удержана из зарплаты стоимость услуг, оказанных работникам вспомогательными и прочими цехами 	6710	2310	Договор, расчет стоимости услуг
51	Включена в сумму материального ущерба, возмещаемого виновными лицами в соответствии с законодательством, доля затрат вспомогательных цехов 	4730	2310	Акт об ущербе, расчеты бухгалтерии
52	Списаны затраты вспомогательных и прочих цехов по оказанным ими услугам дочерним предприятиям 	4110	2310	Договор, счет-фактура, накладная
53	Списаны затраты или отпущена продукция вспомогательных и прочих производств внутренним подразделениям, выделенным на отдельный баланс 	4110	2310	Договор, счет-фактура, накладная
54	Списаны затраты вспомогательных и прочих цехов, включаемые в расходы по аннулированным заказам 	9430	2310	Решение руководителя предприятия, расчет бухгалтерии
55	Списаны потери вспомогательных и прочих цехов из-за стихийных бедствий, пожаров и т. п. 	9720	2310	Акт о потерях
56	Отражены выявленные при инвентаризации недостачи и порча материальных ценностей в цехах вспомогательных и прочих производств 	5910	2310	Акт инвентаризации
57	Отражены затраты на капитальный ремонт арендованных основных средств за счет арендодателя 	4890	2310	Договор, акт выполненных работ, услуг
58	Отражены расходы и потери по возвратной и многооборотной таре 	9430	2310	Докладная записка
59	Списана стоимость ремонта основных средств, проведенного вспомогательными цехами за счет ранее образованных резервов предстоящих расходов 	8910	2310	Акт выполненных ремонтных работ, накладная
